CUSTOMER_ID,GEOGRAPHY,ACTIVE_FLAG,CREATED_DATE
CUST00001,North America,Y,2018-04-02
CUST00002,Oceania,Y,2020-12-28
CUST00003,MEA,N,2018-02-06
CUST00004,Oceania,Y,2022-11-23
CUST00005,Oceania,Y,2023-12-28
CUST00006,EU,Y,2021-04-16
CUST00007,MEA,Y,2023-01-11
CUST00008,MEA,Y,2023-03-10
CUST00009,MEA,Y,2018-05-17
CUST00010,Oceania,N,2024-02-16
CUST00011,North America,Y,2022-07-22
CUST00012,MEA,Y,2024-07-17
CUST00013,South America,Y,2022-05-02
CUST00014,Oceania,Y,2020-08-29
CUST00015,EU,Y,2019-10-24
CUST00016,North America,Y,2024-04-09
CUST00017,South America,Y,2022-12-16
CUST00018,South America,Y,2019-02-19
CUST00019,EU,Y,2018-12-09
CUST00020,North America,Y,2018-05-26
CUST00021,Oceania,Y,2018-11-19
CUST00022,APAC,Y,2023-12-10
CUST00023,North America,Y,2021-06-29
CUST00024,EU,Y,2023-02-22
CUST00025,South America,Y,2024-06-16
CUST00026,Oceania,Y,2019-08-24
CUST00027,North America,Y,2019-04-20
CUST00028,APAC,Y,2022-02-24
CUST00029,APAC,Y,2019-07-29
CUST00030,MEA,Y,2018-12-13
CUST00031,MEA,Y,2022-02-19
CUST00032,EU,Y,2019-01-17
CUST00033,North America,Y,2021-07-27
CUST00034,North America,Y,2018-03-13
CUST00035,South America,Y,2021-01-22
CUST00036,South America,Y,2021-10-28
CUST00037,South America,Y,2024-07-14
CUST00038,MEA,Y,2021-09-21
CUST00039,North America,Y,2019-10-26
CUST00040,North America,Y,2022-02-24
CUST00041,APAC,Y,2023-03-07
CUST00042,MEA,Y,2018-02-09
CUST00043,Oceania,Y,2021-10-14
CUST00044,MEA,Y,2023-07-24
CUST00045,Oceania,N,2021-07-01
CUST00046,APAC,Y,2020-08-23
CUST00047,EU,Y,2023-03-16
CUST00048,North America,Y,2024-01-27
CUST00049,APAC,Y,2019-12-02
CUST00050,North America,Y,2019-05-26
CUST00051,South America,Y,2021-07-07
CUST00052,EU,Y,2019-08-07
CUST00053,EU,Y,2020-09-10
CUST00054,APAC,Y,2019-04-04
CUST00055,EU,Y,2023-03-21
CUST00056,Oceania,Y,2024-07-16
CUST00057,EU,Y,2023-10-06
CUST00058,North America,Y,2024-03-15
CUST00059,North America,Y,2020-03-26
CUST00060,North America,Y,2018-09-04
CUST00061,North America,N,2019-12-31
CUST00062,Oceania,Y,2024-08-17
CUST00063,MEA,Y,2019-02-21
CUST00064,South America,Y,2020-11-20
CUST00065,APAC,Y,2019-01-03
CUST00066,North America,Y,2018-04-18
CUST00067,EU,Y,2020-04-18
CUST00068,North America,Y,2019-02-22
CUST00069,EU,Y,2022-07-02
CUST00070,South America,Y,2020-03-31
CUST00071,South America,Y,2021-11-22
CUST00072,South America,Y,2019-11-14
CUST00073,EU,N,2018-09-13
CUST00074,North America,Y,2020-04-17
CUST00075,South America,Y,2024-04-01
CUST00076,Oceania,Y,2019-07-07
CUST00077,EU,Y,2018-06-30
CUST00078,EU,Y,2018-06-06
CUST00079,North America,Y,2022-01-17
CUST00080,EU,Y,2019-07-25
CUST00081,EU,Y,2020-05-06
CUST00082,South America,Y,2022-11-20
CUST00083,North America,Y,2022-09-24
CUST00084,South America,Y,2020-11-13
CUST00085,South America,Y,2022-02-05
CUST00086,North America,Y,2021-11-24
CUST00087,APAC,Y,2019-08-15
CUST00088,South America,Y,2023-12-22
CUST00089,Oceania,Y,2019-02-25
CUST00090,Oceania,Y,2024-03-10
CUST00091,EU,Y,2018-12-14
CUST00092,Oceania,Y,2018-06-15
CUST00093,EU,Y,2020-07-25
CUST00094,APAC,Y,2018-12-14
CUST00095,North America,Y,2019-02-02
CUST00096,North America,Y,2019-08-06
CUST00097,North America,Y,2022-05-20
CUST00098,Oceania,Y,2018-11-04
CUST00099,APAC,Y,2018-04-09
CUST00100,Oceania,Y,2021-06-19
CUST00101,Oceania,Y,2018-06-07
CUST00102,APAC,Y,2019-07-08
CUST00103,APAC,N,2019-10-13
CUST00104,APAC,N,2024-03-24
CUST00105,APAC,Y,2024-10-06
CUST00106,North America,Y,2024-04-09
CUST00107,MEA,Y,2020-12-04
CUST00108,MEA,Y,2022-02-04
CUST00109,APAC,Y,2024-08-15
CUST00110,MEA,Y,2023-02-22
CUST00111,MEA,N,2020-01-04
CUST00112,APAC,Y,2023-05-05
CUST00113,MEA,Y,2018-04-02
CUST00114,Oceania,Y,2024-01-29
CUST00115,EU,Y,2022-06-16
CUST00116,EU,N,2021-04-30
CUST00117,APAC,Y,2021-01-05
CUST00118,North America,Y,2021-07-28
CUST00119,APAC,Y,2021-10-19
CUST00120,North America,Y,2018-06-28
CUST00121,EU,Y,2024-04-04
CUST00122,APAC,Y,2018-10-07
CUST00123,South America,Y,2020-11-08
CUST00124,Oceania,Y,2022-06-07
CUST00125,MEA,Y,2019-01-06
CUST00126,North America,Y,2022-12-06
CUST00127,South America,Y,2022-08-31
CUST00128,MEA,Y,2024-03-18
CUST00129,MEA,Y,2018-10-31
CUST00130,APAC,Y,2021-09-10
CUST00131,MEA,Y,2021-12-31
CUST00132,Oceania,Y,2024-10-21
CUST00133,South America,Y,2021-04-08
CUST00134,MEA,Y,2024-08-19
CUST00135,APAC,Y,2024-08-25
CUST00136,Oceania,Y,2023-08-24
CUST00137,EU,Y,2019-10-31
CUST00138,South America,Y,2019-05-15
CUST00139,MEA,Y,2021-11-15
CUST00140,APAC,N,2022-04-22
CUST00141,EU,Y,2019-06-14
CUST00142,EU,Y,2023-06-30
CUST00143,North America,Y,2021-05-04
CUST00144,Oceania,Y,2020-01-25
CUST00145,MEA,Y,2024-06-05
CUST00146,APAC,Y,2020-03-25
CUST00147,North America,N,2019-12-28
CUST00148,Oceania,N,2020-01-01
CUST00149,North America,Y,2020-04-07
CUST00150,South America,Y,2021-08-24
CUST00151,Oceania,Y,2023-08-09
CUST00152,Oceania,N,2020-05-24
CUST00153,MEA,N,2023-12-19
CUST00154,Oceania,Y,2023-06-27
CUST00155,North America,Y,2022-08-05
CUST00156,Oceania,Y,2019-08-31
CUST00157,MEA,Y,2023-09-05
CUST00158,MEA,Y,2022-01-17
CUST00159,South America,Y,2019-09-27
CUST00160,North America,Y,2021-04-24
CUST00161,EU,Y,2019-04-29
CUST00162,EU,Y,2020-12-10
CUST00163,Oceania,N,2023-03-30
CUST00164,South America,Y,2023-08-15
CUST00165,APAC,Y,2019-08-12
CUST00166,Oceania,Y,2024-03-05
CUST00167,South America,Y,2024-04-23
CUST00168,North America,Y,2021-05-13
CUST00169,North America,Y,2023-05-28
CUST00170,North America,Y,2023-08-21
CUST00171,North America,Y,2020-08-06
CUST00172,North America,Y,2023-08-18
CUST00173,South America,Y,2023-09-11
CUST00174,South America,Y,2023-07-01
CUST00175,MEA,Y,2022-10-08
CUST00176,EU,Y,2019-01-22
CUST00177,North America,Y,2021-06-05
CUST00178,APAC,Y,2022-11-26
CUST00179,South America,Y,2022-02-07
CUST00180,APAC,Y,2018-07-26
CUST00181,APAC,Y,2022-12-24
CUST00182,APAC,Y,2022-11-16
CUST00183,MEA,Y,2024-07-23
CUST00184,South America,Y,2020-03-03
CUST00185,APAC,N,2024-03-31
CUST00186,North America,Y,2022-09-21
CUST00187,Oceania,Y,2020-10-02
CUST00188,APAC,Y,2020-07-30
CUST00189,MEA,Y,2021-03-11
CUST00190,South America,Y,2024-02-02
CUST00191,MEA,Y,2022-08-05
CUST00192,APAC,N,2019-03-25
CUST00193,South America,Y,2019-08-15
CUST00194,Oceania,Y,2018-03-23
CUST00195,APAC,Y,2023-12-23
CUST00196,MEA,Y,2021-11-07
CUST00197,EU,Y,2022-01-20
CUST00198,North America,Y,2024-10-23
CUST00199,MEA,Y,2020-12-15
CUST00200,South America,Y,2019-02-23
CUST00201,APAC,Y,2018-03-29
CUST00202,North America,Y,2018-08-03
CUST00203,APAC,Y,2022-10-25
CUST00204,South America,Y,2022-03-01
CUST00205,APAC,Y,2022-09-14
CUST00206,EU,Y,2024-04-11
CUST00207,North America,Y,2022-02-10
CUST00208,North America,Y,2018-11-05
CUST00209,South America,Y,2018-08-19
CUST00210,EU,Y,2018-06-04
CUST00211,MEA,N,2021-04-13
CUST00212,APAC,Y,2018-04-25
CUST00213,Oceania,Y,2021-11-14
CUST00214,APAC,Y,2018-11-07
CUST00215,APAC,N,2020-09-19
CUST00216,MEA,Y,2024-06-05
CUST00217,APAC,Y,2020-11-07
CUST00218,EU,Y,2018-01-12
CUST00219,EU,Y,2021-11-28
CUST00220,North America,Y,2024-03-29
CUST00221,South America,N,2023-07-07
CUST00222,Oceania,Y,2019-12-31
CUST00223,APAC,Y,2021-07-25
CUST00224,APAC,N,2021-10-08
CUST00225,MEA,Y,2023-07-30
CUST00226,South America,Y,2024-06-08
CUST00227,EU,Y,2019-06-25
CUST00228,Oceania,Y,2018-03-18
CUST00229,North America,Y,2018-01-24
CUST00230,EU,Y,2020-11-04
CUST00231,South America,Y,2019-11-07
CUST00232,North America,Y,2024-07-22
CUST00233,MEA,Y,2018-06-21
CUST00234,MEA,Y,2023-03-08
CUST00235,APAC,N,2019-05-04
CUST00236,South America,Y,2022-01-25
CUST00237,Oceania,N,2024-08-22
CUST00238,North America,Y,2024-08-16
CUST00239,EU,Y,2020-01-27
CUST00240,South America,Y,2024-08-26
CUST00241,South America,Y,2018-06-04
CUST00242,MEA,Y,2018-09-14
CUST00243,APAC,Y,2022-11-15
CUST00244,APAC,Y,2019-11-05
CUST00245,North America,Y,2023-10-17
CUST00246,MEA,Y,2024-07-19
CUST00247,South America,Y,2019-11-04
CUST00248,Oceania,Y,2024-09-04
CUST00249,MEA,Y,2022-01-12
CUST00250,North America,Y,2018-09-16
CUST00251,North America,Y,2018-11-03
CUST00252,MEA,Y,2021-01-23
CUST00253,North America,Y,2018-09-03
CUST00254,MEA,Y,2022-07-17
CUST00255,EU,Y,2018-07-06
CUST00256,MEA,Y,2022-12-03
CUST00257,MEA,Y,2020-07-13
CUST00258,North America,Y,2020-02-24
CUST00259,North America,Y,2022-05-15
CUST00260,APAC,Y,2024-09-21
CUST00261,APAC,Y,2021-09-22
CUST00262,EU,Y,2018-12-07
CUST00263,APAC,Y,2019-07-17
CUST00264,MEA,Y,2019-10-13
CUST00265,North America,Y,2021-04-08
CUST00266,APAC,Y,2018-03-10
CUST00267,APAC,Y,2022-05-03
CUST00268,EU,Y,2024-08-25
CUST00269,South America,Y,2023-10-06
CUST00270,EU,Y,2021-07-24
CUST00271,MEA,Y,2021-01-27
CUST00272,North America,Y,2020-07-04
CUST00273,EU,Y,2024-06-30
